,Review,Useful
129,Cool professor. Strict but fun.,1.0
130,Dr. is extremely helpful with clarification of portions of the subject that are not understood. She will even take the time to review your assignment before you submit it for grading.,1.0
131,"I really enjoyed this class. It really separates serious students from the slackers. If you actually study, don't procrastinate, and seek help when you need it there is no reason you should fail this class, yet many people do. It is one of the most important CS classes you ever take and you need to treat it that way.",1.0
132,"Tough teacher. Group projects are a thing now; do not procrastinate. The homework is online and there is at least one section due every week. Quiz every week. Not too many tests. Tests are tough but tend to be based off of the homework, quizzes, and labs.",1.0
133,Great teacher all around!,0.0
134,Favorite professor.,0.0
135,No extra credit. Quiz every week. Unless you have taken this course before I advice to take another teacher or you will have to study a lot.,1.0
136,"I love my professor. Her class is never boring. She uses the textbook, but always has Power Point or PDF's to help the understanding. What I like best, is she always relates everything to real life, so it makes it easy to understand and it makes sense. Also, she always give tricks on how to learn things, so they stay in your head forever.",1.0
137,"Class is definitely difficult, but a very important one at that! Menezes knows his stuff, he doesn't always explain it THAT great, but he is a good teacher. Just don't expect any easy grade at all.",1.0
138,"I just love her, her lectures are always on point and she explains everything you need to know for the tests.",1.0
139,"Multiple choice questions are infuriating at times, there will be ones with more than one answer and ones where all answers are wrong. The part about them that was the most annoying is that for example if there are three correct choices and you miss one you miss the question and get minus points. That aside he is a very good friendly teacher.",1.0
140,shes an okay professor. Her tests are tricky and youll really need to read the textbook. i didnt really attend classes cause its all from the book. she gives tons of extra credit. I got an A. it was too easy for me,1.0
141,"He really knows his stuff, and is an effective instructor. However, he often shows an irritability with his students which undermines his frequent requests that students visit his office hours. In a few infrequent cases, he's tested on vocabulary that was not explicitly covered in class.",1.0
142,"SHE TRIES TO BE FUNNY. In general, the class is easy but only if you do all the homework, quizzes and labs! everything! because there is a lot to cover in just one hour so you have to be on top of it. she is clear and fair. very helpful too! IN my opinion, her class goes with a good rhythm not too fast or too slow",0.0
143,"Dr. is overall a very good teacher. Just show up to the lectures, she explains everything in a very clear fashion. The homework is once a week and not very hard. Would definitely reccomend.",1.0
144,"Fair grader and tough tests, but very informative and helpful. Labs are easier and provide a well needed grade boost in the class.",1.0
145,"Tests are fair, but very difficult. I got below a 50 on every pop quiz and the three tests so far I got a 40, 70, and 40. I came into this with a 3.7 but this is something else. I've never gotten below a B in my life but I will be happy with a C here. last test had 34Fs,6 Ds,5 Cs, 2 Bs, 1 A. only 1 A test avg with a 91% for the whole year.",1.0
146,Smart guy. He helps students but does not chase us. If you need help you have to go and find him in his office. You learn a lot in the class. One of the best in the department.,1.0
147,"I was forced to sort of take this class being a transfer student as other classes were filling up. I was very concerned after reading reviews from this site. The thing is, she's not that bad. She gave amazing lectures, she was well informed about the topics and very eloquent. She doesn't baby you, and she expects you to be independent.",1.0
148,"Dr. Knoll is a genius. She teaches in a brilliant fashion and gives excellent notes. She can be intimidating and there is a lot of material. The grade mainly consists of quizzes and tests. The course requires effort, but in my opinion Dr. is the best choice to take it with. Had for calc 1 and 2.",1.0
149,"The bomb.com! Get her for PreChem and Chem, and life is a breeze!",0.0
150,"I liked her lectures very much. They were very interesting and she clearly knows a lot about her topics. (As all professors are supposed to) BUT, in the context of her grading style, she is not very planned nor is she organized. The distribution of percentages that determine ones grade are very very poorly set up.",1.0
151,"She can make something difficult appear extremely easy. I was never fund of calculus, yet she made me love it. As always, for an A you have to study, but there is no ""hunt"" for formulas whatsoever. I never opened the book. No need! She is a MUST at FIT!",1.0
152,He is the easiest A. He gives you the exams three weeks in advance.,1.0
153,"One of the best math teachers I have ever had. She is super helpful and clear. Any issues I had with the class were with the GSAs. Homework can be difficult because it's through WebAssign, but it's not too bad honestly. Study the quizzes, and you'll do great on the tests. She does drop some grades, but I won't say exactly what was dropped.",1.0
154,"Great teacher, available to students, HARD grader. This is probably the most valuable class you'll take as a CS student.",1.0
155,"He was a good guy, really... he was. But I felt he had an alter-ego when he left to go home and grade. His expectations and how he picked apart his students papers was simply not fair. Again, great guy but avoid this class with him!!!",1.0
156,"He is brilliant in his field, but expects his students to perform at high levels, with unrealistic expectations. Only by a miracle did I get an A, and that was after a heavy curve. He does care about his students though, as he gives lots of time in class for work, while he goes around giving tips and answering questions.",1.0
157,He has a major in philosophy which is why all the papers you have to write are based on philosophy. As long as your paper agrees with what he thinks you will get a good grade. Otherwise the class is boring and he talks for an hour about nonsense but it is mandatory to attend otherwise your grade will drop.,0.0
158,"I thought his class was extremely hard but despite it all, I became a confident writer. People on here say 'you can only get a c on a paper' WRONG. I got an A and a B. You just have to be in it to win it. If you want to get an A, get a different teacher. If you want learn, Go for him. He made Eng. 110 worth something.",1.0
159,"I recently just finished taking Comp 110 with Rand and it was the hardest class of my freshman semester. He takes it way too serious for a 100 level class. 80% of the class is papers so you would think you control the grade you get, right? Wrong. He will tear apart your paper and give you a bad grade despite your efforts. I worked hard for a C.",1.0
160,"He is a nice person and really interesting to hear him speak. I am always inspired after a lecture. However, never expect to get anything higher than a C. You can think your paper is perfect but, he will tear it apart in seconds. Take a different professor if you don't want to put 9 hours of work into a paper you get an 'average' grade on.",1.0
161,Hard class,0.0
162,He graded a 100 level class like we were all English majors in a 300 or above level class. Never got higher than a C on a paper. I went to the writing center for every paper. Very unclear in instructions and hard to approach with questions. Don't take the class from him.,1.0
163,Tough grader on papers make sure you do your work and drafts. Participation grades save you in the long run. Dont miss class and do your work. Go to the tutor center helps alot,1.0
164,Do not take English 110 with him. I don't feel any better at writing due to his confusing grading style.,1.0
165,Bottom line Rand needs to retire before he ruins everyone's GPA's. He thinks he knows so much about English and thinks it is his job to make essay assignments unneeded riddles. He answers questions with questions and likes to talk trash about high school English teachers; hating on the high school teachers ironically makes it like high school. FR,0.0
166,He will only give your paper a C. It does not matter if it is good or not. Work extremely hard if you plan on passing.,1.0
167,one of the worst professors at UND. Extremely hard grader and expects to much in a 100 level class. Thinks that everyone's papers should be masterpieces. No matter how long i spent on a paper i couldnt get higher than a C. Only reason i got a B in the class was because i never missed a class.,0.0
168,"This class is so pointless its ridiculous. I'm in the class currently (only because its required.) The class has no relevance to anything in life. He is a ****, the class is so boring. He could make the class so much better by writing papers that actually have meaning to them instead of what some philosopher said. Textbook reading is hard!!",0.0
169,Horrible professor. He does not believe in A's. Thinks that other teachers grade too easily. Answers your questions with other questions that do not help you. Teaches you irrelevant material that you will never use again. Worst professor I have ever had.,0.0
170,"Worst professor ever. He asked me personal questions that were uncomfortable, made me feel stupid when I asked questions, and overall discouraged me. Do not take english 125 from him.",1.0
171,"I attend his Business and Technical Writing course. He humiliates people for not understanding assignments when they ask. Very egotistical, rude to those who need help, very difficult work, hard grader -even on those who are following directions. I highly recommend waiting to take this class from anyone else. Not worth losing points on your GPA.",1.0
172,"He was a very hard grader, but he graded on improvement throughout the semester, not on how great of a greater you were (I mean he obviously graded on how good of a writer you were, but it was more on how much you progressed). I learned a lot from him. I am even taking me next english class with him. Definitely take his course if you can!",1.0
173,"Professor is very unclear and grades very hard. If you are in his English classes, drop if you want something less than a C. He hates that 'students were graded too easy in high school' so in response to that, he likes to fail his students.",0.0
174,"He is terrible! If you have him drop him IMMEDIATELY! He is mean, and an extremely hard grader!!!!",0.0
175,Awful. Horrible grading.,0.0
176,I wish I could give him a zero,0.0
177,Not good.,0.0
178,"This was a tough class. I expected all college classes to be like this, but since most are not it was somewhat refreshing to have a professor push me this much. If you are willing to put in the work for Mr. you will reep the benefits. If not, then take this class from someone else.",1.0
179,"He is a unruly professor. He grades on how he feels your ideas are. There is never a right answer, papers can ALWAYS use improvement. I would not recommend him to anyone wanting a grade over a C, even to get that you must put in an excessive amount of time into each paper.",1.0
180,"He is confusing in every aspect: in lecture, in assignments and in critiquing. His assignments are mundane and never change. I expected to explore writing and become better. He is an impossible grader, espcially because he grades on how HE feels about your ideas, not on grammer or content. VERY DISAPPOINTING.",1.0
181,"Worst teacher I have had at UND. Sorry I don't have a PhD in English. His grading style is way too rough for a 125 class. nobody in my class has an A. I have put in 3x more hours for this class than any other but still this class is my worst grade. If possible, avoid this teacher!",1.0
182,worst experience of my life. expects way too much for a 100 level course. take this class if you want to spend 15 hours on a three page paper and still get a C-. ridiculous grading policies.,0.0
183,"For as much of a waste as UNIV 101 is, he did an ok job at keeping things interesting. Avoid UNIV 101 altogether if you can.",1.0
184,"His expectations are high for a required 100-level class, especially since most who take it aren't English majors. To his credit, he's smart and gives good feedback. I wouldn't recommend him to a freshman.",1.0
